logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
fallacy of relevance,0,"Brazil , the world ’ s largest exporter of red meat , holds around 212 million cattle . ( In June , the U.S. temporarily suspended imports of beef from Brazil due to abscesses , collections of pus , in the meat . )"," ""Brazil holds around 212 million cattle.""  "," ""The U.S. suspended imports of beef from Brazil.""","HoldsCattle(a, b)","SuspendedImports(c, d),  ComesFrom(d, a),  IsBeef(e)",[],"[(' Brazil', ' Brazil')]",[],"HoldsCattle(a, b)","SuspendedImports(c, d) and ComesFrom(d, a) and IsBeef(e)","(HoldsCattle(a, b)) -> (SuspendedImports(c, d) and ComesFrom(d, a) and IsBeef(e))","(exists b (exists a (HoldsCattle(a, b)))) -> (exists c (exists e (exists d (exists a (SuspendedImports(c, d) and ComesFrom(d, a) and IsBeef(e))))))"
equivocation,0,"Those eruptions meant there was more subsequent warming in the following years , making the rate of warming appear to be rising as a result of man-made emissions or other factors , Christy said ."," ""There were eruptions that meant there was more subsequent warming in the following years.""  "," ""The rate of warming appears to be rising as a result of man-made emissions or other factors.""","HasEruptions(a),  CausesWarming(a,b),  IsSubsequent(c)","HasRisingRate(d),  IsCausedBy(d,e),  IsCausedBy(d,f)",[],[],[],"HasEruptions(a) and CausesWarming(a,b) and IsSubsequent(c)","(HasRisingRate(d) and (IsCausedBy(d,e) or IsCausedBy(d,f)))","(HasEruptions(a) and CausesWarming(a,b) and IsSubsequent(c)) -> ((HasRisingRate(d) and (IsCausedBy(d,e) or IsCausedBy(d,f))))","(exists c (exists b (exists a (HasEruptions(a) and CausesWarming(a,b) and IsSubsequent(c))))) -> (exists e (exists d (exists f ((HasRisingRate(d) and (IsCausedBy(d,e) or IsCausedBy(d,f)))))))"
false dilemma,0,"If global warming is “ real , ”
both sides of the debate seem to assume , the climate lobby ’ s policy agenda follows
inexorably ."," ""The climate lobby's policy agenda follows inexorably.""  "," ""Global warming is real.""",FollowsInexorably(a),IsReal(b),[],[],"[("" The climate lobby's policy agenda"", ' Global warming')]",FollowsInexorably(a),IsReal(b),(exists a (FollowsInexorably(a))) -> (forall b (IsReal(b))),(exists a (FollowsInexorably(a))) -> (exists b (IsReal(b)))
appeal to emotion,0,"He said that he and his students cried when he showed them maps of the damage , which he had calculated in part by flying low in small planes and helicopters ."," ""He and his students cried when he showed his students maps of the damage.""  "," ""He showed his students maps of the damage.""","Cried(a),  Showed(a, b, c),  DepictsDamage(c, d)","Showed(a, b, c),  DepictsDamage(c, d)",[],"[(' He', ' He'), (' his students', ' his students'), (' he', ' He'), (' his students', ' his students'), (' maps', ' maps'), (' the damage', ' the damage')]",[],"Cried(a) and Showed(a, b, c) and DepictsDamage(c, d)","Showed(a, b, c) and DepictsDamage(c, d)","(Cried(a) and Showed(a, b, c) and DepictsDamage(c, d)) -> (Showed(a, b, c) and DepictsDamage(c, d))","(exists c (exists d (exists b (exists a (Cried(a) and Showed(a, b, c) and DepictsDamage(c, d)))))) -> (exists c (exists d (exists b (exists a (Showed(a, b, c) and DepictsDamage(c, d))))))"
intentional,0,"On our current trajectory , the report warns , “ planetary and human systems [ are ] reaching a ‘ point of no return ’ by mid-century , in which the prospect of a largely uninhabitable Earth leads to the breakdown of nations and the international order . ”"," ""Planetary and human systems are reaching a ‘point of no return’ by mid-century.""  "," ""The Earth will become largely uninhabitable.""","IsReaching(a, c),  IsReaching(b, c),  IsByTime(a, d),  IsByTime(b, d)",IsUninhabitable(e),[],[],"[(' Planetary systems', ' The Earth')]","(IsReaching(a, c) and IsReaching(b, c)) and (IsByTime(a, d) and IsByTime(b, d))",IsUninhabitable(e),"(exists a ((IsReaching(a, c) and IsReaching(b, c)) and (IsByTime(a, d) and IsByTime(b, d)))) -> (forall e (IsUninhabitable(e)))","(exists c (exists d (exists b (exists a ((IsReaching(a, c) and IsReaching(b, c)) and (IsByTime(a, d) and IsByTime(b, d))))))) -> (exists e (IsUninhabitable(e)))"
faulty generalization,0,A harrowing scenario analysis of how human civilization might collapse in coming decades due to climate change has been endorsed by a former Australian defense chief and senior royal navy commander .," ""A former Australian defense chief and senior royal navy commander endorsed a scenario analysis of how human civilization might collapse due to climate change.""  "," ""Human civilization might collapse in coming decades due to climate change.""","IsFormerDefenseChief(c),  IsSeniorRoyalNavyCommander(d),  Endorses(c,e),  MightCollapse(a,b)","MightCollapse(a,b)",[],"[(' human civilization', ' Human civilization'), (' climate change', ' climate change')]",[],"IsFormerDefenseChief(c) and IsSeniorRoyalNavyCommander(d) and Endorses(c,e) and MightCollapse(a,b)","MightCollapse(a,b)","(IsFormerDefenseChief(c) and IsSeniorRoyalNavyCommander(d) and Endorses(c,e) and MightCollapse(a,b)) -> (MightCollapse(a,b))","(exists d (exists a (exists c (exists e (exists b (IsFormerDefenseChief(c) and IsSeniorRoyalNavyCommander(d) and Endorses(c,e) and MightCollapse(a,b))))))) -> (exists b (exists a (MightCollapse(a,b))))"
fallacy of extension,0,Alarmist attempts to frame thriving forests as harmful perfectly illustrate the alarmists ’ proclivity to claim anything and everything – no matter how beneficial – is severely harmful and caused by global warming .," ""Alarmists frame thriving forests as harmful.""  "," ""Thriving forests are not harmful.""","FramesAsHarmful(b, a)",IsNotHarmful(a),[],"[(' thriving forests', ' Thriving forests')]",[],"FramesAsHarmful(b, a)",~IsNotHarmful(a),"(FramesAsHarmful(b, a)) -> (~IsNotHarmful(a))","(exists b (exists a (FramesAsHarmful(b, a)))) -> (exists a (~IsNotHarmful(a)))"
ad populum,0,"The Chinese “ airpocalypse ” of 2013 peaked at what would have been an Air Quality Index of over 800 . That year , smog was responsible for a third of all deaths in the country ."," ""Smog was responsible for a third of all deaths in China in 2013.""  "," ""Air Quality Index in China was over 800 in 2013.""","IsResponsibleFor(c, d),  Causes(e, c),  IsInCountry(c, a),  IsInYear(c, b)","IsOver(f, 800),  IsInCountry(f, a),  IsInYear(f, b)",[],"[(' China', ' China'), (' 2013', ' 2013')]",[],"IsResponsibleFor(c, d) and Causes(e, c) and IsInCountry(c, a) and IsInYear(c, b)","IsOver(f, 800) and IsInCountry(f, a) and IsInYear(f, b)","(IsResponsibleFor(c, d) and Causes(e, c) and IsInCountry(c, a) and IsInYear(c, b)) -> (IsOver(f, 800) and IsInCountry(f, a) and IsInYear(f, b))","(exists d (exists a (exists c (exists e (exists b (IsResponsibleFor(c, d) and Causes(e, c) and IsInCountry(c, a) and IsInYear(c, b))))))) -> (exists b (exists f (exists a (IsOver(f, 800) and IsInCountry(f, a) and IsInYear(f, b)))))"
ad hominem,0,"Update Jan. 25 , 2016 : As I predicted in this article , global warming activists have indeed made a full-blown public relations effort to claim 2015 was the warmest year on record ."," ""Global warming activists made a public relations effort to claim 2015 was the warmest year on record.""  "," ""2015 was the warmest year on record.""","MadePublicRelationsEffort(c, d),  ClaimedWasWarmestYear(a, b),  IsOnRecord(b)","IsWarmestYear(b),  IsOnRecord(b)",[],"[(' 2015', ' 2015'), (' warmest year', ' the warmest year on record')]",[],"MadePublicRelationsEffort(c, d) and ClaimedWasWarmestYear(a, b) and IsOnRecord(b)",IsWarmestYear(b) and IsOnRecord(b),"(MadePublicRelationsEffort(c, d) and ClaimedWasWarmestYear(a, b) and IsOnRecord(b)) -> (IsWarmestYear(b) and IsOnRecord(b))","(exists c (exists d (exists b (exists a (MadePublicRelationsEffort(c, d) and ClaimedWasWarmestYear(a, b) and IsOnRecord(b)))))) -> (exists b (IsWarmestYear(b) and IsOnRecord(b)))"
fallacy of extension,0,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines ."," ""Global warming alarmism provides politicians with money and power, provides environmentalists with money for their organizations and confirmation of their beliefs, and provides the media with ideology, money, and headlines.""  "," ""Global warming alarmism serves the interests of politicians, environmentalists, and the media.""","ProvidesMoney(a,b),  ProvidesPower(a,b),  ProvidesMoney(a,c),  ProvidesForOrganizations(a,c,g),  ProvidesConfirmation(a,c,h),  ProvidesBeliefs(a,c,i),  ProvidesIdeology(a,d,j),  ProvidesMoney(a, d),  ProvidesHeadlines(a,d,k)","ServesInterests(a,b),  ServesInterests(a,c),  ServesInterests(a,d)","[('  ProvidesForOrganizations(a,c,g)', '  ServesInterests(a,c)'), ('  ServesInterests(a,c)', '  ProvidesConfirmation(a,c,h)')]","[(' Global warming alarmism', ' Global warming alarmism'), (' politicians', ' politicians'), (' environmentalists', ' environmentalists'), (' the media', ' the media')]",[],"ProvidesMoney(a,b) and ProvidesPower(a,b) and ProvidesMoney(a,c) and ProvidesForOrganizations(a,c,g) and ProvidesConfirmation(a,c,h) and ProvidesBeliefs(a,c,i) and ProvidesIdeology(a,d,j) and ProvidesMoney(a,d) and ProvidesHeadlines(a,d,k)","ServesInterests(a,b) and ServesInterests(a,c) and ServesInterests(a,d)","(ProvidesMoney(a,b) and ProvidesPower(a,b) and ProvidesMoney(a,c) and ProvidesForOrganizations(a,c,g) and ProvidesConfirmation(a,c,h) and ProvidesBeliefs(a,c,i) and ProvidesIdeology(a,d,j) and ProvidesMoney(a,d) and ProvidesHeadlines(a,d,k) & (forall c (forall a (forall g (  ProvidesForOrganizations(a,c,g) ->   ServesInterests(a,c))))) & (forall c (forall h (forall a (  ServesInterests(a,c) ->   ProvidesConfirmation(a,c,h)))))) -> (ServesInterests(a,b) and ServesInterests(a,c) and ServesInterests(a,d))","(exists j (exists d (exists k (exists a (exists c (exists h (exists i (exists b (exists g (ProvidesMoney(a,b) and ProvidesPower(a,b) and ProvidesMoney(a,c) and ProvidesForOrganizations(a,c,g) and ProvidesConfirmation(a,c,h) and ProvidesBeliefs(a,c,i) and ProvidesIdeology(a,d,j) and ProvidesMoney(a,d) and ProvidesHeadlines(a,d,k)))))))))) & (forall m (forall l (forall n (  ProvidesForOrganizations(l,m,n) ->   ServesInterests(l,m))))) & (forall q (forall o (forall p (  ServesInterests(o,p) ->   ProvidesConfirmation(o,p,q)))))) -> (exists c (exists d (exists b (exists a (ServesInterests(a,b) and ServesInterests(a,c) and ServesInterests(a,d))))))"
fallacy of logic,0,"As long as the ice-water mix is well-stirred ( like a glass of ice water ) , the surface temperature stays at the freezing point until all the ice melts ."," ""The surface temperature stays at the freezing point until all the ice melts.""  "," ""The ice-water mix is well-stirred.""","IsAtFreezingPoint(a, b),  IsIce(c),  Melts(c)",IsWellStirred(d),[],[],[],"(IsAtFreezingPoint(a, b) and IsIce(c)) and ~Melts(c)",IsWellStirred(d),"((IsAtFreezingPoint(a, b) and IsIce(c)) and ~Melts(c)) -> (IsWellStirred(d))","(exists c (exists b (exists a ((IsAtFreezingPoint(a, b) and IsIce(c)) and ~Melts(c))))) -> (exists d (IsWellStirred(d)))"
faulty generalization,0,The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes .," ""A high tide and a brisk wind send water pouring into streets and homes.""  "," ""High tides and brisk winds cause flooding in streets and homes.""","IsHighTide(a),  IsBriskWind(b),  SendsWater(a,b,e),  IsInStreets(e,c),  IsInHomes(e,d)","IsHighTide(a),  IsBriskWind(b),  CausesFlooding(a,b,f),  IsInStreets(f,c),  IsInHomes(f,d)","[('  CausesFlooding(a,b,f)', '  IsInHomes(e,d)')]","[(' A high tide', ' High tides'), (' a brisk wind', ' brisk winds'), (' streets', ' streets'), (' homes', ' homes')]","[(' A high tide', ' flooding')]","IsHighTide(a) and IsBriskWind(b) and SendsWater(a,b,e) and (IsInStreets(e,c) and IsInHomes(e,d))","(IsHighTide(a) and IsBriskWind(b)) and (CausesFlooding(a,b,f) and IsInStreets(f,c) and IsInHomes(f,d))","(exists a (IsHighTide(a) and IsBriskWind(b) and SendsWater(a,b,e) and (IsInStreets(e,c) and IsInHomes(e,d))) & (forall d (forall a (forall f (forall e (forall b (  CausesFlooding(a,b,f) ->   IsInHomes(e,d)))))))) -> (forall f ((IsHighTide(a) and IsBriskWind(b)) and (CausesFlooding(a,b,f) and IsInStreets(f,c) and IsInHomes(f,d))))","(exists d (exists a (exists c (exists e (exists b (IsHighTide(a) and IsBriskWind(b) and SendsWater(a,b,e) and (IsInStreets(e,c) and IsInHomes(e,d))))))) & (forall j (forall l (forall k (forall m (forall i (  CausesFlooding(i,j,k) ->   IsInHomes(l,m)))))))) -> (exists d (exists a (exists c (exists f (exists b ((IsHighTide(a) and IsBriskWind(b)) and (CausesFlooding(a,b,f) and IsInStreets(f,c) and IsInHomes(f,d))))))))"
intentional,0,The international team onboard the Russian research ship R/V Akademik Keldysh said most of the bubbles were currently dissolving in the water but methane levels at the surface were four to eight times what would normally be expected and this was venting into the atmosphere .," ""Methane levels at the surface were four to eight times what would normally be expected.""  "," ""Methane is venting into the atmosphere.""","IsAtSurface(a),  IsUnexpected(a)","IsVenting(c, d)",[],[],"[(' Methane levels', ' Methane'), (' Methane levels', ' the atmosphere')]",IsAtSurface(a) and ~IsUnexpected(a),"IsVenting(c, d)","(exists a (IsAtSurface(a) and ~IsUnexpected(a))) -> (forall d (forall c (IsVenting(c, d))))","(exists a (IsAtSurface(a) and ~IsUnexpected(a))) -> (exists c (exists d (IsVenting(c, d))))"
intentional,0,"While it 's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina , changes in extreme precipitation events are one of global warming 's most well-documented climate change impacts ."," ""Changes in extreme precipitation events are one of global warming's most well-documented climate change impacts.""  "," ""Global warming may have affected the rare confluence of events that dumped at least 26.88 inches of rain in South Carolina.""","IsDocumented(c),  IsCausedBy(a, c),  IsChange(b)","IsAffectedBy(a, d),  IsRainAmount(e),  IsInLocation(e, f),  IsRareConfluence(d)",[],"[(' global warming', ' Global warming')]","[(' climate change impacts', ' Global warming')]","IsChange(b) and IsCausedBy(a, c) and IsDocumented(c)","IsAffectedBy(a, d) and IsRareConfluence(d) and IsRainAmount(e) and IsInLocation(e, f)","(exists c (IsChange(b) and IsCausedBy(a, c) and IsDocumented(c))) -> (forall a (IsAffectedBy(a, d) and IsRareConfluence(d) and IsRainAmount(e) and IsInLocation(e, f)))","(exists c (exists b (exists a (IsChange(b) and IsCausedBy(a, c) and IsDocumented(c))))) -> (exists e (exists d (exists f (exists a (IsAffectedBy(a, d) and IsRareConfluence(d) and IsRainAmount(e) and IsInLocation(e, f))))))"
false causality,0,Any increase in flooding activity is due to human alterations of river and stream flow rather than precipitation changes .," ""Any increase in flooding activity is due to human alterations of river and stream flow.""  "," ""Human alterations of river and stream flow cause flooding.""","IsDueTo(d, a),  AltersFlow(a, b),  AltersFlow(a, c)","CausesFlooding(a, e),  AltersFlow(a, b),  AltersFlow(a, c)",[],"[(' human alterations', ' Human alterations'), (' river', ' river'), (' stream flow', ' stream flow')]","[(' any increase in flooding activity', ' flooding')]","IsDueTo(d, a) and AltersFlow(a, b) and AltersFlow(a, c)","(AltersFlow(a, b) and AltersFlow(a, c)) and CausesFlooding(a, e)","(exists d (IsDueTo(d, a) and AltersFlow(a, b) and AltersFlow(a, c))) -> (forall e ((AltersFlow(a, b) and AltersFlow(a, c)) and CausesFlooding(a, e)))","(exists c (exists d (exists b (exists a (IsDueTo(d, a) and AltersFlow(a, b) and AltersFlow(a, c)))))) -> (exists c (exists e (exists b (exists a ((AltersFlow(a, b) and AltersFlow(a, c)) and CausesFlooding(a, e))))))"
faulty generalization,0,"Still , the shift is precisely what he and other cyclone experts said would be expected from climate change ."," ""The shift is what he and other cyclone experts said would be expected from climate change.""  "," ""The shift is expected from climate change.""","ExpectedFromClimateChange(a, b),  Says(c, a),  Involves(d, a)","ExpectedFromClimateChange(a, b)",[],"[(' The shift', ' The shift'), (' climate change', ' climate change')]",[],"(ExpectedFromClimateChange(a, b) and Says(c, a) and Involves(d, a))","ExpectedFromClimateChange(a, b)","((ExpectedFromClimateChange(a, b) and Says(c, a) and Involves(d, a))) -> (ExpectedFromClimateChange(a, b))","(exists c (exists d (exists b (exists a ((ExpectedFromClimateChange(a, b) and Says(c, a) and Involves(d, a))))))) -> (exists b (exists a (ExpectedFromClimateChange(a, b))))"
